Model,Precision,Recall,F1 Score,Time(ms)
Logistic Regression, 0.58775, 0.6140389082462253, 0.6001344086021505, 33.002376556396484
Random Forest, 0.750240206947524, 0.7807055749128919, 0.7574912891986063, 242.16485023498535
Neural Network(1L 8N), 0.8249011857707511, 0.6220238095238095, 0.644588224067182, 12693.771362304688
Neural Network(2L 64N-32N), 0.5559918244406197, 0.5455865272938444, 0.537024087024087, 14046.022653579712
Neural Network(Optuna), 0.7231182795698924, 0.7012921022067364, 0.7112854251012146, 872516.6609287262
