ms_since_epoch,experiment_id,somnox_ax,somnox_ay,somnox_az,somnox_gx,somnox_gy,somnox_gz,time,label
1.7273E+12,124,-0.019466186,-0.112272591,-0.005901248,17.97409694,3.688073835,-8.04847534,0,noise
1.7273E+12,124,-0.048301605,-0.175298708,-0.109747496,74.7841156,86.49380499,74.35984441,142,noise
1.7273E+12,124,-0.060220818,-0.229762191,-0.186356699,126.2878159,160.8706018,148.1264467,207,noise
1.7273E+12,124,-0.048705256,-0.269773355,-0.221828004,168.2140964,218.9771095,205.2337811,321,noise
1.7273E+12,124,-0.018636541,-0.293932981,-0.217082631,199.1061896,256.1246465,240.841143,381,noise
1.7273E+12,124,0.018306345,-0.305142821,-0.182946908,220.4397406,272.2994482,254.9339928,521,noise
1.7273E+12,124,0.050190309,-0.308364413,-0.133640386,234.3678833,271.1446754,251.6465516,581,noise
1.7273E+12,124,0.069985741,-0.308025124,-0.081412697,241.83425,258.2171132,237.5395482,721,noise
1.7273E+12,124,0.07662086,-0.306535932,-0.034732019,242.9509765,239.3985887,219.230143,781,noise
1.7273E+12,124,0.073555261,-0.304081836,0.00164864,238.2323914,219.641407,201.4278849,921,noise
1.7273E+12,124,0.066044852,-0.299909478,0.026298522,229.2292435,202.192386,186.3812275,981,noise
1.7273E+12,124,0.058404985,-0.293800059,0.040342104,218.4139429,188.3787128,174.3322771,1121,noise
1.7273E+12,124,0.052885937,-0.286439662,0.046310432,208.1472409,178.1365132,164.6223356,1181,noise
1.7273E+12,124,0.050090689,-0.279027621,0.047097616,199.6252957,170.774345,156.704821,1321,noise
1.7273E+12,124,0.050396168,-0.272512696,0.045180953,192.7957703,165.3606524,150.3587222,1381,noise
1.7273E+12,124,0.054792484,-0.26710216,0.042230038,186.8531701,160.846616,145.4695884,1519,noise
1.7273E+12,124,0.063932725,-0.262539516,0.039412989,180.8541352,156.2222701,141.7912921,1581,noise
1.7273E+12,124,0.077079861,-0.258504397,0.037789704,174.1662475,150.7438406,138.8357793,1721,noise
1.7273E+12,124,0.092514981,-0.254712974,0.038086652,166.5283266,144.1766869,135.9848293,1781,noise
1.7273E+12,124,0.108323186,-0.250944906,0.040431746,157.9642476,136.8676484,132.6851157,1921,noise
1.7273E+12,124,0.122595893,-0.247056129,0.044674347,148.7640742,129.5120292,128.6496142,1981,noise
1.7273E+12,124,0.133592515,-0.242868818,0.050709371,139.4078268,122.8203151,123.9538351,2121,noise
1.7273E+12,124,0.140226609,-0.237988735,0.058316879,130.3353785,117.2136224,118.871626,2181,noise
1.7273E+12,124,0.142532575,-0.231784675,0.066930566,121.7885438,112.6538561,113.6449633,2319,noise
1.7273E+12,124,0.141943558,-0.223549669,0.075736684,113.9001516,108.7702054,108.4004269,2378,noise
1.7273E+12,124,0.141093552,-0.21271339,0.084038331,106.804504,105.0915323,103.1406431,2522,noise
1.7273E+12,124,0.142675493,-0.199055378,0.091583488,100.5741628,101.1857256,97.71464091,2578,noise
1.7273E+12,124,0.148113914,-0.182789485,0.098502651,95.11945429,96.77695438,91.85505976,2718,noise
1.7273E+12,124,0.156973748,-0.164691707,0.104978844,90.21175732,91.86427771,85.3713426,2778,noise
1.7273E+12,124,0.167097267,-0.146103306,0.111162198,85.59848239,86.69040103,78.33841533,2918,noise
1.7273E+12,124,0.175336938,-0.128176476,0.117249798,81.11407989,81.53633664,71.16314621,2978,noise
1.7273E+12,124,0.178740573,-0.111187004,0.123429661,76.70339662,76.59214456,64.50228144,3120,noise
1.7273E+12,124,0.176216843,-0.0946819,0.12983448,72.36051994,71.96503076,58.94208226,3178,noise
1.7273E+12,124,0.169437862,-0.077881426,0.136537451,68.0942301,67.66472994,54.71508094,3320,noise
1.7273E+12,124,0.16148112,-0.060465653,0.143511491,63.94145527,63.59428035,51.76814999,3378,noise
1.7273E+12,124,0.154918617,-0.043217693,0.150743052,59.94540889,59.62881242,49.9119326,3520,noise
1.7273E+12,124,0.151203683,-0.027297198,0.158530896,56.09411531,55.71178789,48.77267377,3578,noise
1.7273E+12,124,0.150816762,-0.013257928,0.167517,52.31012064,51.86668925,47.77767615,3720,noise
1.7273E+12,124,0.153697187,-0.001161325,0.178239493,48.51995373,48.13258725,46.41365872,3778,noise
1.7273E+12,124,0.159647456,0.009009267,0.19076118,44.71101148,44.52243066,44.47338831,3920,noise
1.7273E+12,124,0.168214542,0.017405834,0.204671155,40.9225631,41.03584447,42.0078222,3978,noise
1.7273E+12,124,0.178327244,0.024452445,0.219001465,37.20975924,37.67524279,39.17554867,4120,noise
1.7273E+12,124,0.188122616,0.030657604,0.231934842,33.6006429,34.44354209,36.17153998,4179,noise
1.7273E+12,124,0.194903209,0.036312273,0.240671561,30.07594103,31.32921782,33.19415538,4320,noise
1.7273E+12,124,0.195191751,0.04139113,0.241544703,26.59749596,28.30022875,30.41428545,4379,noise
1.7273E+12,124,0.185037134,0.045661493,0.230370812,23.13294116,25.33404669,27.95131297,4519,noise
1.7273E+12,124,0.160756464,0.048833756,0.203201022,19.6549082,22.44931969,25.85812992,4579,noise
1.7273E+12,124,0.120228394,0.050621983,0.15766489,16.16063057,19.69667104,24.11433615,4719,noise
1.7273E+12,124,0.06475166,0.05076774,0.09513329,12.71565164,17.13392329,22.6163732,4779,noise
1.7273E+12,124,0.00144404,0.049121419,0.023526195,9.495289706,14.81078468,21.15391884,4920,noise
1.7273E+12,124,-0.056313073,0.045476507,-0.042435695,6.741764643,12.73404942,19.42904969,11378,noise
1.7273E+12,124,-0.09536803,0.039551454,-0.088503494,4.565568176,10.824077,17.20911658,11580,noise
1.7273E+12,124,-0.111666228,0.032034296,-0.110124147,2.828415625,8.961275833,14.50259921,11718,noise
1.7273E+12,124,-0.109898539,0.025135995,-0.111921774,1.292208169,7.089612269,11.52832169,11780,noise
1.7273E+12,124,-0.096897016,0.021179262,-0.101037409,-0.227829566,5.214898483,8.539892463,11920,noise
1.7273E+12,124,-0.078379642,0.021162165,-0.083787575,-1.839211514,3.330900389,5.725748391,11980,noise
1.7273E+12,124,-0.058495581,0.024778342,-0.06491966,-3.534190804,1.401312567,3.196458142,12120,noise
1.7273E+12,124,-0.039638437,0.031072531,-0.04719599,-5.177909912,-0.61026953,0.977513858,12180,noise
1.7273E+12,124,-0.022790724,0.038828999,-0.03154613,-6.638729417,-2.69574023,-0.981558343,12320,noise
1.7273E+12,124,-0.008218161,0.046553151,-0.017684596,-7.905356081,-4.78654918,-2.758741872,12380,noise
1.7273E+12,124,0.00415251,0.052578652,-0.004948527,-9.027162279,-6.809933196,-4.412669082,12520,noise
1.7273E+12,124,0.014701852,0.055705734,0.00712151,-10.04604131,-8.73005447,-5.964826027,12580,noise
1.7273E+12,124,0.023929684,0.055763359,0.018706873,-11.02001958,-10.50770318,-7.403631782,12720,noise
1.7273E+12,124,0.032228256,0.053367908,0.02981202,-12.00092887,-12.06660132,-8.709920653,12779,noise
1.7273E+12,124,0.039951239,0.049250429,0.040326832,-12.97617995,-13.31814885,-9.87488018,12920,noise
1.7273E+12,124,0.047647035,0.044012775,0.050230789,-13.90286347,-14.20156449,-10.89232271,12980,noise
1.7273E+12,124,0.056097176,0.038437385,0.059892002,-14.81557731,-14.71744363,-11.76638023,13120,noise
1.7273E+12,124,0.066017019,0.033627121,0.070030157,-15.83094218,-14.94347271,-12.5261857,13180,noise
1.7273E+12,124,0.077661486,0.030600848,0.081286535,-17.00105964,-15.01479612,-13.2054703,13320,noise
1.7273E+12,124,0.090572899,0.029980191,0.093779387,-18.24679784,-15.08226352,-13.82506193,13380,noise
1.7273E+12,124,0.10349829,0.032156753,0.106699625,-19.45654243,-15.27058241,-14.40365126,13520,noise
1.7273E+12,124,0.114438957,0.037467691,0.118068858,-20.57170883,-15.65028955,-14.96241923,13580,noise
1.7273E+12,124,0.120657118,0.045987572,0.124986025,-21.58261812,-16.22445171,-15.51348717,13720,noise
1.7273E+12,124,0.118717788,0.057353693,0.124080086,-22.48028878,-16.92832873,-16.04916429,13784,noise
1.7273E+12,124,0.105114502,0.07119326,0.111910415,-23.24556981,-17.64652578,-16.54448239,13920,noise
1.7273E+12,124,0.077500338,0.087545243,0.085872777,-23.89142507,-18.23952797,-16.96315587,13979,noise
1.7273E+12,124,0.036090202,0.106429537,0.045983292,-24.4392213,-18.57913207,-17.25424502,14120,noise
1.7273E+12,124,-0.01459156,0.126987254,-0.002959358,-24.84278893,-18.58798889,-17.35541394,14178,noise
1.7273E+12,124,-0.065608252,0.147277595,-0.051578971,-25.00230559,-18.26989554,-17.22422014,14378,noise
1.7273E+12,124,-0.107742156,0.16509106,-0.090646914,-24.84515821,-17.749018,-16.89319394,14578,noise
1.7273E+12,124,-0.135761889,0.178901448,-0.11564348,-24.36350826,-17.29832315,-16.5133304,14778,noise
1.7273E+12,124,-0.148728467,0.188172998,-0.126803325,-23.59078045,-17.27332211,-16.32498664,14978,noise
1.7273E+12,124,-0.149028246,0.193177384,-0.127165957,-22.54499595,-17.96457427,-16.54351823,15179,noise
1.7273E+12,124,-0.141755393,0.194583081,-0.121128976,-21.21021842,-19.48935285,-17.2584847,16181,noise
1.7273E+12,124,-0.133223017,0.192788172,-0.11348316,-19.60385836,-21.77313839,-18.42327164,16192,noise
1.7273E+12,124,-0.128839292,0.187383443,-0.108450238,-17.84010861,-24.57812705,-19.8874605,16203,noise
1.7273E+12,124,-0.131613354,0.177446812,-0.108734157,-16.13911071,-27.52371543,-21.41755717,16213,noise
1.7273E+12,124,-0.141827956,0.162353593,-0.114982092,-14.82900238,-30.0697162,-22.70988237,16227,noise
1.7273E+12,124,-0.157504648,0.142441987,-0.125600447,-14.23597411,-31.53522042,-23.44486919,16380,noise
1.7273E+12,124,-0.174888531,0.119188817,-0.137506222,-14.38951559,-31.34359407,-23.44843591,16580,noise
1.7273E+12,124,-0.188987956,0.094108521,-0.148184087,-14.9483469,-29.47134232,-22.82227201,16780,noise
1.7273E+12,124,-0.195410008,0.067460075,-0.156943055,-15.59799176,-26.59791327,-21.80814798,16980,noise
1.7273E+12,124,-0.192779585,0.039041932,-0.163998121,-16.36831866,-23.6329967,-20.58279586,17180,noise
1.7273E+12,124,-0.18306605,0.009511986,-0.16970859,-17.43274574,-21.17153101,-19.28502193,17380,noise
1.7273E+12,124,-0.169921982,-0.019939286,-0.17479434,-18.71166023,-19.42263598,-18.09883386,17580,noise
1.7273E+12,124,-0.156945404,-0.048156579,-0.179710105,-19.81781665,-18.39453658,-17.20811307,17780,noise
1.7273E+12,124,-0.146506485,-0.073826711,-0.184052761,-20.4415974,-18.00259811,-16.7091231,17980,noise
